Humble Book Bundle: The Get-Your-Sh*t-Together Growth Bundle by HarperCollins Dec 9, 2025 $18.00
Humble Book Bundle: DIY Electronics 2.0 by Wiley Jan 27, 2020 $15.00
Humble Data Science & Machine Learning Bundle Jan 23, 2020 $20.00
Humble Book Bundle: Artificial Intelligence by MIT Press Jan 20, 2020 $15.00
Humble Book Bundle: Python & Machine Learning by Packt Jan 16, 2020 $15.00
Humble Book Bundle: Career Building by Career Press Jan 16, 2020 $15.00
Humble Sybex CompTIA Exam Prep Bundle Jan 16, 2020 $30.00
Humble Book Bundle: Cybersecurity 2019 by Packt Nov 18, 2019 $15.00
Humble Book Bundle: Network & Security Certification 2.0 by Wiley Sep 16, 2019 $15.00
Humble Level Up Your Python Bundle Sep 10, 2019 $20.00
Humble Book Bundle: Python Programming by No Starch Press Aug 19, 2019 $15.00
Humble Book Bundle: Programming by Packt Jun 25, 2019 $15.00
Humble Book Bundle: Jumpstart Your Tech Career by Apress Jun 25, 2019 $15.00
Humble Book Bundle: Hacking 2.0 by No Starch Press May 28, 2019 $15.00
Age of Wonders III May 9, 2019 --
Humble Book Bundle: Python by O'Reilly Apr 29, 2019 $15.00
Humble Book Bundle: Microcontrollers Raspberry Pi & Arduino by Make: Feb 22, 2019 $15.00
Humble Book Bundle: Robotics & IoT by Packt Feb 22, 2019 $15.00
LEGO® The Lord of the Rings Dec 20, 2018 --
Humble Book Bundle: Fortnite by Skyhorse Dec 20, 2018 $15.00
Humble Book Bundle: Hacking for the Holidays by No Starch Press Dec 17, 2018 $15.00
LEGO® The Hobbit™ Dec 13, 2018 --
Humble Book Bundle: Leadership Now by Berrett-Koehler Dec 6, 2018 $15.00
Humble Book Bundle: Cybersecurity by Packt Nov 30, 2018 $15.00
Humble Book Bundle: Machine Learning by O'Reilly Aug 27, 2018 $15.00
Humble Book Bundle: Web Design & Development by O'Reilly May 21, 2018 $15.00
Humble Book Bundle: Makerspace by No Starch Press Mar 26, 2018 $8.00
Humble Book Bundle: DIY Electronics by Wiley Mar 25, 2018 $15.00
Humble Book Bundle: Python by Packt Jan 1, 2018 $15.00
Humble Day of the Devs Bundle 2016 Nov 2, 2016 $5.00
Humble Book Bundle: Joy of Coding presented by No Starch Press Aug 17, 2016 $15.00
Humble Bundle Revelmode Jul 14, 2016 $15.00
Humble Manga Bundle: Kodansha Comics May 8, 2016 $17.00
Humble Book Bundle: Hacking presented by No Starch Press Apr 28, 2016 $15.00
Humble Book Bundle: Emerging Sci-Fi & Thriller Authors Mar 17, 2016 $15.00
A very special gift just for you Mar 4, 2016 Gift
Humble Jumbo Bundle 5 Nov 7, 2015 $9.00
Humble Weekly Bundle: Extra Life 2015 Nov 7, 2015 $9.00
Humble Capcom Bundle Oct 13, 2015 $15.00
Humble Borderlands Bundle Jul 1, 2015 $15.00
Injustice™: Gods Among Us - Ultimate Edition May 17, 2015 $4.99
Humble Origin Bundle 2 Apr 14, 2015 $5.00
Humble Weekly Bundle: Tabletops Apr 10, 2015 $10.00
Humble Square Enix Bundle 2 Feb 17, 2015 $15.00
Humble Brainiac Book Bundle Presented by No Starch Press Feb 7, 2015 $15.00
Humble Mobile Bundle 6 Aug 12, 2014 $5.00
Humble Mobile Bundle 4 Mar 11, 2014 $4.00
Humble Indie Bundle 11 Feb 25, 2014 $5.00
Humble WB Games Bundle Nov 6, 2013 $5.00
Humble Indie Bundle 9 Sep 20, 2013 $5.00
Humble Indie Bundle 8 May 28, 2013 $1.00
Humble Double Fine Bundle May 10, 2013 $1.00
Humble Indie Bundle 7 Dec 19, 2012 $6.00
Humble THQ Bundle Nov 29, 2012 $6.00
Humble Indie Bundle 6 Sep 18, 2012 $6.00
Humble Bundle for Android 3 Aug 22, 2012 $10.00
Humble Indie Bundle 4 Dec 15, 2011 $10.00
Humble Frozen Synapse Bundle Oct 1, 2011 $10.00
Humble Indie Bundle 3 Aug 9, 2011 $6.00
Humble Frozenbyte Bundle Apr 13, 2011 $5.00
Humble Indie Bundle 2 Dec 17, 2010 $10.00
